recv	ack	#287,	sack	#287
send	data	#300,	winSize = 13
recv	ack	#288,	sack	#288
send	data	#301,	winSize = 13
recv	ack	#289,	sack	#289
send	data	#302,	winSize = 13
recv	ack	#290,	sack	#290
send	data	#303,	winSize = 13
recv	ack	#291,	sack	#291
send	data	#304,	winSize = 13
recv	ack	#292,	sack	#292
send	data	#305,	winSize = 13
recv	ack	#293,	sack	#293
send	data	#306,	winSize = 13
recv	ack	#294,	sack	#294
send	data	#307,	winSize = 13
recv	ack	#295,	sack	#295
send	data	#308,	winSize = 13
recv	ack	#296,	sack	#296
send	data	#309,	winSize = 14
send	data	#310,	winSize = 14
recv	ack	#296,	sack	#298
send	data	#311,	winSize = 14
recv	ack	#296,	sack	#299
send	data	#312,	winSize = 14
recv	ack	#296,	sack	#300
send	data	#313,	winSize = 14
resnd	data	#297,	winSize = 14
recv	ack	#296,	sack	#301
send	data	#314,	winSize = 14
recv	ack	#296,	sack	#302
send	data	#315,	winSize = 14
recv	ack	#296,	sack	#303
send	data	#316,	winSize = 14
recv	ack	#296,	sack	#304
send	data	#317,	winSize = 14
recv	ack	#296,	sack	#305
send	data	#318,	winSize = 14
recv	ack	#296,	sack	#306
send	data	#319,	winSize = 14
recv	ack	#296,	sack	#307
send	data	#320,	winSize = 14
recv	ack	#296,	sack	#309
send	data	#321,	winSize = 14
recv	ack	#296,	sack	#311
send	data	#322,	winSize = 14
recv	ack	#296,	sack	#312
send	data	#323,	winSize = 14
recv	ack	#296,	sack	#313
send	data	#324,	winSize = 14
recv	ack	#307,	sack	#297
send	data	#325,	winSize = 14
recv	ack	#307,	sack	#314
send	data	#326,	winSize = 14
recv	ack	#307,	sack	#315
send	data	#327,	winSize = 14
recv	ack	#307,	sack	#316
send	data	#328,	winSize = 14
resnd	data	#308,	winSize = 14
recv	ack	#307,	sack	#317
send	data	#329,	winSize = 14
recv	ack	#307,	sack	#307
recv	ack	#307,	sack	#319
send	data	#330,	winSize = 14
recv	ack	#307,	sack	#320
send	data	#331,	winSize = 14
recv	ack	#307,	sack	#321
send	data	#332,	winSize = 14
recv	ack	#307,	sack	#322
send	data	#333,	winSize = 14
recv	ack	#307,	sack	#323
send	data	#334,	winSize = 14
recv	ack	#307,	sack	#324
send	data	#335,	winSize = 14
recv	ack	#307,	sack	#325
send	data	#336,	winSize = 14
recv	ack	#307,	sack	#326
send	data	#337,	winSize = 14
recv	ack	#307,	sack	#327
send	data	#338,	winSize = 14
recv	ack	#307,	sack	#328
send	data	#339,	winSize = 14
recv	ack	#309,	sack	#308
send	data	#340,	winSize = 14
recv	ack	#309,	sack	#329
send	data	#341,	winSize = 14
recv	ack	#309,	sack	#330
send	data	#342,	winSize = 14
recv	ack	#309,	sack	#309
resnd	data	#310,	winSize = 14
recv	ack	#309,	sack	#332
send	data	#343,	winSize = 14
recv	ack	#309,	sack	#333
send	data	#344,	winSize = 14
recv	ack	#309,	sack	#334
send	data	#345,	winSize = 14
recv	ack	#309,	sack	#335
send	data	#346,	winSize = 14
recv	ack	#309,	sack	#336
send	data	#347,	winSize = 14
recv	ack	#309,	sack	#337
send	data	#348,	winSize = 14
recv	ack	#309,	sack	#338
send	data	#349,	winSize = 14
recv	ack	#309,	sack	#339
send	data	#350,	winSize = 14
recv	ack	#309,	sack	#340
send	data	#351,	winSize = 14
recv	ack	#309,	sack	#341
send	data	#352,	winSize = 14
recv	ack	#317,	sack	#310
send	data	#353,	winSize = 14
recv	ack	#317,	sack	#343
send	data	#354,	winSize = 14
recv	ack	#317,	sack	#344
send	data	#355,	winSize = 14
recv	ack	#317,	sack	#345
send	data	#356,	winSize = 14
resnd	data	#318,	winSize = 14
recv	ack	#317,	sack	#347
send	data	#357,	winSize = 14
recv	ack	#317,	sack	#348
send	data	#358,	winSize = 14
recv	ack	#317,	sack	#349
send	data	#359,	winSize = 14
recv	ack	#317,	sack	#350
send	data	#360,	winSize = 14
recv	ack	#317,	sack	#351
send	data	#361,	winSize = 14
recv	ack	#317,	sack	#352
send	data	#362,	winSize = 14
recv	ack	#317,	sack	#353
send	data	#363,	winSize = 14
recv	ack	#317,	sack	#354
send	data	#364,	winSize = 14
recv	ack	#317,	sack	#355
send	data	#365,	winSize = 14
recv	ack	#317,	sack	#356
send	data	#366,	winSize = 14
recv	ack	#330,	sack	#318
send	data	#367,	winSize = 14
recv	ack	#330,	sack	#330
recv	ack	#330,	sack	#358
send	data	#368,	winSize = 14
recv	ack	#330,	sack	#359
send	data	#369,	winSize = 14
resnd	data	#331,	winSize = 14
recv	ack	#330,	sack	#360
send	data	#370,	winSize = 14
